"CS_PRODUCT_OBJECT_TYPE__C","CATEGORY_GROUP__C","CATEGORY_LEVEL_1__C","CATEGORY_LEVEL_2__C","CATEGORY_LEVEL_3__C","CATEGORY_LEVEL_4__C","CATEGORY_LEVEL_5__C","CATEGORY_LEVEL_6__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","GLOBAL_CATEGORY_GROUP__C","GLOBAL_CATEGORY_LEVEL_1__C","ID","ISDELETED","IS_SUPERMARKET__C","JOKR_ENTITY__C","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","SYSTEMMODSTAMP"
"","Fresh Food","Dairy & Chilled","Chilled Juice and Drinks","Chilled Tea & Coffee","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TZMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102005001","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Chilled Juice and Drinks","Cold Pressed Juice","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TaMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102005002","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Chilled Juice and Drinks","Fresh Fruit Juice","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TbMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102005003","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Chilled Juice and Drinks","Fresh Fruit Juice","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TcMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102005004","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Chilled Juice and Drinks","Fresh Fruit Juice","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TdMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102005005","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Chilled Juice and Drinks","Fresh Fruit Juice","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TeMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102005006","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Chilled Juice and Drinks","Fresh Fruit Juice","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TfMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102005007","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Chilled Juice and Drinks","Fresh Fruit Juice","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TgMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102005008","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Chilled Juice and Drinks","Smoothies & Shakes","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2ThMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102005009","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Deli & Cooked Meat","Antipasti","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TiMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102006001","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Deli & Cooked Meat","Bacon & Sausages","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TjMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102006002","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Deli & Cooked Meat","Cured Meats","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TkMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102006003","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Deli & Cooked Meat","Deli Seafood","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TlMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102006004","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Deli & Cooked Meat","Fresh Sliced Ham","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TmMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102006005","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Deli & Cooked Meat","Pate & Foie Gras","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TnMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102006006","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Deli & Cooked Meat","Sliced & Cooked Meat","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2ToMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102006007","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
