"BRAND_OWNER__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","RECORDTYPEID","SYSTEMMODSTAMP","TYPE__C"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTEMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Chévere","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTFMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Zest","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTGMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Cottonelle","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTHMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Embasa","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTIMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Fiorelo","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTJMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Gatorade","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTKMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Generico","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTLMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Kacang","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTMMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Kinder","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTNMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Kikkoman","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
